0	13513
1	7595
2	4378
3	3099
4	2293
5	1787
6	1476
7	1167
8	1126
9	898
10	782
11	720
12	624
13	583
14	586
15	486
16	464
17	438
18	487
19	498
20	488
21	387
22	339
23	318
24	288
25	283
26	294
27	277
28	247
29	245
30	242
31	212
32	203
33	188
34	165
35	153
36	161
37	157
38	161
39	157
40	171
41	161
42	192
43	142
44	172
45	152
46	147
47	127
48	120
49	105
50	76
51	105
52	80
53	97
54	110
55	119
56	124
57	107
58	128
59	113
60	112
61	101
62	92
63	103
64	102
65	91
66	78
67	56
68	62
69	81
70	79
71	77
72	85
73	84
74	84
75	99
76	82
77	96
78	62
79	67
80	62
81	55
82	61
83	54
84	41
85	60
86	66
87	59
88	53
89	57
90	53
91	47
92	61
93	70
94	74
95	54
96	67
97	42
98	50
99	39
100	43
101	50
102	49
103	40
104	45
105	43
106	37
107	49
108	35
109	51
110	42
111	39
112	47
113	43
114	36
115	42
116	44
117	47
118	35
119	39
120	33
121	49
122	29
123	44
124	40
125	37
126	34
127	30
128	37
129	31
130	35
131	38
132	41
133	30
134	37
135	37
136	35
137	31
138	32
139	36
140	31
141	24
142	27
143	28
144	37
145	31
146	33
147	29
148	34
149	39
150	31
151	31
152	30
153	22
154	34
155	34
156	31
157	32
158	32
159	23
160	24
161	29
162	19
163	31
164	23
165	28
166	36
167	30
168	27
169	29
170	23
171	22
172	29
173	28
174	13
175	22
176	20
177	24
178	19
179	24
180	20
181	28
182	18
183	19
184	13
185	27
186	24
187	24
188	23
189	26
190	22
191	21
192	12
193	17
194	17
195	28
196	17
197	20
198	23
199	18
200	8169
